Nom;Poste;Date;Vitesse_ms
Piton St Leu;97413580;01/01/2016;3.0
Piton St Leu;97413580;02/01/2016;2.9
Piton St Leu;97413580;03/01/2016;1.8
Piton St Leu;97413580;04/01/2016;2.0
Piton St Leu;97413580;05/01/2016;2.4
Piton St Leu;97413580;06/01/2016;2.2
Piton St Leu;97413580;07/01/2016;1.4
Piton St Leu;97413580;08/01/2016;1.1
Piton St Leu;97413580;09/01/2016;1.0
Piton St Leu;97413580;10/01/2016;1.0
Piton St Leu;97413580;11/01/2016;0.3
Piton St Leu;97413580;12/01/2016;0.6
Piton St Leu;97413580;13/01/2016;0.5
Piton St Leu;97413580;14/01/2016;0.2
Piton St Leu;97413580;15/01/2016;0.3
Piton St Leu;97413580;16/01/2016;0.3
Piton St Leu;97413580;17/01/2016;0.3
Piton St Leu;97413580;18/01/2016;0.3
Piton St Leu;97413580;19/01/2016;0.1
Piton St Leu;97413580;20/01/2016;0.5
Piton St Leu;97413580;21/01/2016;0.8
Piton St Leu;97413580;22/01/2016;0.4
Piton St Leu;97413580;23/01/2016;1.1
Piton St Leu;97413580;24/01/2016;1.0
Piton St Leu;97413580;25/01/2016;0.5
Piton St Leu;97413580;26/01/2016;0.6
Piton St Leu;97413580;27/01/2016;0.6
Piton St Leu;97413580;28/01/2016;1.2
Piton St Leu;97413580;29/01/2016;1.3
Piton St Leu;97413580;30/01/2016;2.0
Piton St Leu;97413580;31/01/2016;2.1
Piton St Leu;97413580;01/02/2016;0.7
Piton St Leu;97413580;02/02/2016;0.6
Piton St Leu;97413580;03/02/2016;0.9
Piton St Leu;97413580;04/02/2016;0.5
Piton St Leu;97413580;05/02/2016;0.4
Piton St Leu;97413580;06/02/2016;0.5
Piton St Leu;97413580;07/02/2016;0.6
Piton St Leu;97413580;08/02/2016;0.7
Piton St Leu;97413580;09/02/2016;0.3
Piton St Leu;97413580;10/02/2016;0.3
Piton St Leu;97413580;11/02/2016;3.1
Piton St Leu;97413580;12/02/2016;0.3
Piton St Leu;97413580;13/02/2016;0.5
Piton St Leu;97413580;14/02/2016;0.6
Piton St Leu;97413580;15/02/2016;0.8
Piton St Leu;97413580;16/02/2016;1.0
Piton St Leu;97413580;17/02/2016;0.6
Piton St Leu;97413580;18/02/2016;0.3
Piton St Leu;97413580;19/02/2016;0.9
Piton St Leu;97413580;20/02/2016;0.4
Piton St Leu;97413580;21/02/2016;0.4
Piton St Leu;97413580;22/02/2016;0.4
Piton St Leu;97413580;23/02/2016;0.2
Piton St Leu;97413580;24/02/2016;0.5
Piton St Leu;97413580;25/02/2016;0.9
Piton St Leu;97413580;26/02/2016;0.5
Piton St Leu;97413580;27/02/2016;1.5
Piton St Leu;97413580;28/02/2016;2.2
Piton St Leu;97413580;29/02/2016;0.5
Piton St Leu;97413580;01/03/2016;0.6
Piton St Leu;97413580;02/03/2016;1.2
Piton St Leu;97413580;03/03/2016;1.1
Piton St Leu;97413580;04/03/2016;1.2
Piton St Leu;97413580;05/03/2016;1.1
Piton St Leu;97413580;06/03/2016;1.4
Piton St Leu;97413580;07/03/2016;0.3
Piton St Leu;97413580;08/03/2016;0.5
Piton St Leu;97413580;09/03/2016;0.6
Piton St Leu;97413580;10/03/2016;0.1
Piton St Leu;97413580;11/03/2016;1.2
Piton St Leu;97413580;12/03/2016;1.1
Piton St Leu;97413580;13/03/2016;0.5
Piton St Leu;97413580;14/03/2016;0.3
Piton St Leu;97413580;15/03/2016;0.1
Piton St Leu;97413580;16/03/2016;0.17142857142857143
Piton St Leu;97413580;17/03/2016;0.24285714285714285
Piton St Leu;97413580;18/03/2016;0.3142857142857143
Piton St Leu;97413580;19/03/2016;0.38571428571428573
Piton St Leu;97413580;20/03/2016;0.4571428571428572
Piton St Leu;97413580;21/03/2016;0.5285714285714286
Piton St Leu;97413580;22/03/2016;0.6
Piton St Leu;97413580;23/03/2016;0.6714285714285714
Piton St Leu;97413580;24/03/2016;0.7428571428571429
Piton St Leu;97413580;25/03/2016;0.8142857142857143
Piton St Leu;97413580;26/03/2016;0.8857142857142857
Piton St Leu;97413580;27/03/2016;0.9571428571428572
Piton St Leu;97413580;28/03/2016;1.0285714285714287
Piton St Leu;97413580;29/03/2016;1.1
Piton St Leu;97413580;30/03/2016;0.5
Piton St Leu;97413580;31/03/2016;0.8
Piton St Leu;97413580;01/04/2016;0.2
Piton St Leu;97413580;02/04/2016;0.8
Piton St Leu;97413580;03/04/2016;0.4
Piton St Leu;97413580;04/04/2016;0.7
Piton St Leu;97413580;05/04/2016;1.3
Piton St Leu;97413580;06/04/2016;0.6
Piton St Leu;97413580;07/04/2016;1.2
Piton St Leu;97413580;08/04/2016;1.8
Piton St Leu;97413580;09/04/2016;1.8
Piton St Leu;97413580;10/04/2016;1.7
Piton St Leu;97413580;11/04/2016;2.0
Piton St Leu;97413580;12/04/2016;2.3
Piton St Leu;97413580;13/04/2016;2.2
Piton St Leu;97413580;14/04/2016;1.0
Piton St Leu;97413580;15/04/2016;0.8
Piton St Leu;97413580;16/04/2016;0.8
Piton St Leu;97413580;17/04/2016;0.8
Piton St Leu;97413580;18/04/2016;0.8
Piton St Leu;97413580;19/04/2016;0.8
Piton St Leu;97413580;20/04/2016;0.8
Piton St Leu;97413580;21/04/2016;0.8
Piton St Leu;97413580;22/04/2016;0.8
Piton St Leu;97413580;23/04/2016;0.8
Piton St Leu;97413580;24/04/2016;0.8
Piton St Leu;97413580;25/04/2016;0.8
Piton St Leu;97413580;26/04/2016;0.8
Piton St Leu;97413580;27/04/2016;1.0
Piton St Leu;97413580;28/04/2016;1.0
Piton St Leu;97413580;29/04/2016;1.1
Piton St Leu;97413580;30/04/2016;0.9
Piton St Leu;97413580;01/05/2016;1.0
Piton St Leu;97413580;02/05/2016;0.8
Piton St Leu;97413580;03/05/2016;1.6
Piton St Leu;97413580;04/05/2016;0.8
Piton St Leu;97413580;05/05/2016;0.2
Piton St Leu;97413580;06/05/2016;1.8
Piton St Leu;97413580;07/05/2016;1.8
Piton St Leu;97413580;08/05/2016;2.0
